Date,Store ID,Product ID,Quantity Sold
2022-07-01,STORE002,1020,19
2022-07-01,STORE009,1006,2
2022-07-01,STORE006,1014,15
2022-07-01,STORE007,1018,10
2022-07-01,STORE007,1009,14
2022-07-01,STORE004,1011,7
2022-07-01,STORE004,1011,27
2022-07-01,STORE002,1006,18
2022-07-01,STORE006,1011,3
2022-07-01,STORE010,1004,15
2022-07-01,STORE003,1013,21
2022-07-01,STORE009,1009,29
2022-07-01,STORE007,1013,17
2022-07-01,STORE008,1002,2
2022-07-01,STORE002,1014,27
2022-07-02,STORE006,1007,5
2022-07-02,STORE002,1009,25
2022-07-02,STORE006,1001,11
2022-07-02,STORE010,1001,19
2022-07-02,STORE007,1010,3
2022-07-02,STORE007,1007,18
2022-07-02,STORE007,1012,10
2022-07-02,STORE004,1018,24
2022-07-02,STORE005,1010,14
2022-07-03,STORE002,1003,3
2022-07-03,STORE003,1003,28
2022-07-03,STORE002,1015,19
2022-07-03,STORE004,1013,6
2022-07-03,STORE002,1011,19
2022-07-03,STORE006,1008,12
2022-07-03,STORE001,1019,21
2022-07-03,STORE008,1001,13
2022-07-03,STORE005,1003,9
2022-07-03,STORE003,1016,21
2022-07-03,STORE009,1008,2
2022-07-03,STORE005,1007,30
2022-07-03,STORE003,1020,7
2022-07-03,STORE002,1017,10
2022-07-03,STORE005,1005,13
2022-07-04,STORE009,1003,1
2022-07-04,STORE010,1015,7
2022-07-04,STORE001,1002,25
2022-07-04,STORE009,1016,22
2022-07-04,STORE004,1014,25
2022-07-04,STORE008,1016,10
2022-07-05,STORE009,1013,12
2022-07-05,STORE004,1004,12
2022-07-05,STORE008,1008,14
2022-07-05,STORE001,1004,22
2022-07-05,STORE002,1004,25
2022-07-05,STORE008,1003,7
2022-07-05,STORE010,1006,24
2022-07-05,STORE009,1003,2
2022-07-05,STORE003,1009,9
2022-07-05,STORE007,1006,3
2022-07-06,STORE010,1006,21
2022-07-06,STORE001,1013,14
2022-07-06,STORE005,1018,2
2022-07-06,STORE002,1007,27
2022-07-06,STORE009,1015,21
2022-07-06,STORE005,1012,15
2022-07-06,STORE002,1015,30
2022-07-06,STORE008,1014,30
2022-07-06,STORE001,1020,1
2022-07-06,STORE005,1012,11
2022-07-06,STORE004,1015,6
2022-07-06,STORE007,1005,8
2022-07-06,STORE004,1011,12
2022-07-06,STORE005,1010,3
2022-07-07,STORE003,1005,11
2022-07-07,STORE001,1015,27
2022-07-07,STORE009,1016,24
2022-07-07,STORE005,1010,17
2022-07-07,STORE003,1002,11
2022-07-07,STORE007,1013,18
2022-07-07,STORE006,1005,16
2022-07-07,STORE008,1008,7
2022-07-07,STORE003,1014,3
2022-07-07,STORE009,1010,4
2022-07-07,STORE005,1004,7
2022-07-07,STORE005,1011,5
2022-07-07,STORE007,1007,22
2022-07-08,STORE010,1004,2
2022-07-08,STORE007,1008,3
