Date,Store ID,Product ID,Quantity Sold
2022-04-01,STORE002,1019,14
2022-04-01,STORE010,1006,26
2022-04-01,STORE004,1015,12
2022-04-01,STORE006,1013,26
2022-04-01,STORE001,1016,27
2022-04-01,STORE006,1009,3
2022-04-01,STORE009,1004,11
2022-04-02,STORE010,1005,12
2022-04-02,STORE005,1012,20
2022-04-02,STORE005,1009,15
2022-04-02,STORE002,1003,9
2022-04-02,STORE007,1012,8
2022-04-02,STORE009,1020,26
2022-04-02,STORE003,1020,23
2022-04-02,STORE009,1016,23
2022-04-02,STORE008,1012,6
2022-04-02,STORE010,1006,11
2022-04-02,STORE006,1012,22
2022-04-02,STORE002,1007,25
2022-04-03,STORE001,1017,15
2022-04-03,STORE002,1003,19
2022-04-03,STORE007,1004,21
2022-04-03,STORE007,1019,22
2022-04-03,STORE003,1020,9
2022-04-03,STORE003,1011,8
2022-04-03,STORE006,1001,9
2022-04-04,STORE007,1014,21
2022-04-04,STORE009,1010,21
2022-04-04,STORE001,1003,27
2022-04-04,STORE001,1002,1
2022-04-04,STORE007,1013,14
2022-04-04,STORE001,1014,3
2022-04-05,STORE005,1002,10
2022-04-05,STORE009,1007,28
2022-04-05,STORE009,1001,28
2022-04-05,STORE006,1004,4
2022-04-05,STORE008,1004,16
2022-04-05,STORE010,1011,24
2022-04-05,STORE002,1003,24
2022-04-05,STORE005,1004,27
2022-04-05,STORE002,1001,1
2022-04-06,STORE003,1009,8
2022-04-06,STORE003,1005,18
2022-04-06,STORE002,1018,30
2022-04-06,STORE002,1015,28
2022-04-06,STORE001,1010,25
2022-04-06,STORE001,1007,13
2022-04-06,STORE008,1006,3
2022-04-06,STORE005,1002,22
2022-04-06,STORE009,1012,9
2022-04-06,STORE001,1004,20
2022-04-06,STORE010,1004,14
2022-04-06,STORE010,1006,8
2022-04-07,STORE005,1014,30
2022-04-07,STORE006,1001,26
2022-04-07,STORE003,1019,11
2022-04-07,STORE007,1004,29
2022-04-07,STORE008,1017,9
2022-04-08,STORE004,1015,10
2022-04-08,STORE002,1007,6
