Customer ID,Product ID,Review Date,Review Rating,Review Text
C000041,P0000000001,2024-05-01,5,Incredible Read
C000042,P0000000002,2024-05-02,4,Highly Engaging
C000043,P0000000003,2024-05-03,2,Boring Plot
C000044,P0000000004,2024-05-04,3,Average Story
C000045,P0000000005,2024-05-05,4,Well Written
C000046,P0000000006,2024-05-06,1,Disappointing Ending
C000047,P0000000007,2024-05-07,5,Outstanding Book
C000048,P0000000008,2024-05-08,3,Good Characters
C000049,P0000000009,2024-05-09,4,Great Plot
C000050,P0000000010,2024-05-10,2,Poor Writing
