Customer ID,Product ID,Review Date,Review Rating,Review Text
C000011,P0000000001,2024-02-01,4,Comfortable Fit
C000012,P0000000002,2024-02-02,5,High Quality
C000013,P0000000003,2024-02-03,3,Perfect Size
C000014,P0000000004,2024-02-04,4,Stylish Look
C000015,P0000000005,2024-02-05,2,Soft Fabric
C000016,P0000000006,2024-02-06,5,Nice Color
C000017,P0000000007,2024-02-07,3,Well Made
C000018,P0000000008,2024-02-08,1,Disappointed Fit
C000019,P0000000009,2024-02-09,4,Perfect Fit
C000020,P0000000010,2024-02-10,3,Good Quality
