Customer ID,Product ID,Review Date,Review Rating,Review Text
C000001,P0000000001,2024-01-15,5,Excellent Performance
C000002,P0000000002,2024-01-16,4,Highly Recommend
C000003,P0000000003,2024-01-17,3,Decent Quality
C000004,P0000000004,2024-01-18,5,Great Value
C000005,P0000000005,2024-01-19,2,Below Expectations
C000006,P0000000006,2024-01-20,4,Impressive Build
C000007,P0000000007,2024-01-21,3,Average Performance
C000008,P0000000008,2024-01-22,5,Exceptional Quality
C000009,P0000000009,2024-01-23,1,Very Poor
C000010,P0000000010,2024-01-24,4,Well Made
