Customer ID,Product ID,Review Date,Review Rating,Review Text
C000031,P0000000001,2024-04-01,5,Smooth Application
C000032,P0000000002,2024-04-02,4,Long Lasting
C000033,P0000000003,2024-04-03,2,Great Coverage
C000034,P0000000004,2024-04-04,3,Good Texture
C000035,P0000000005,2024-04-05,4,Perfect Shade
C000036,P0000000006,2024-04-06,1,Too Oily
C000037,P0000000007,2024-04-07,5,High Quality
C000038,P0000000008,2024-04-08,3,Great Hydration
C000039,P0000000009,2024-04-09,,Effective Results
C000040,P0000000010,2024-04-10,2,Very Sticky
